Titulo;Categoria;Link
Declaraciones Juradas de Alicia Riera;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alicia-riera/2808
Declaraciones Juradas de Alicia Vanoli;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alicia-vanoli/2453
Declaraciones Juradas de Alvaro Argañaraz;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alvaro-arganaraz/2483
Declaraciones Juradas de Alvaro Cid;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-alvaro-cid/2819
Declaraciones Juradas de Amalia Basualdo;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-amalia-basualdo/2503
Declaraciones Juradas de Analia Righetti;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-analia-righetti/2606
Declaraciones Juradas de Ana Torres;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-ana-torres/2632
Declaraciones Juradas de Andrea Moreno;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-andrea-moreno/2755
Declaraciones Juradas de Andrea Ortiz;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-andrea-ortiz/2516
Declaraciones Juradas de Andrés Vázquez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-andres-vazquez/2696
Declaraciones Juradas de Antonella Rossini;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-antonella-rossini/2821
Declaraciones Juradas de Antonio Ortega;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-antonio-ortega/2432
Declaraciones Juradas de Ariela Szpanin;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-ariela-szpanin/2599
Declaraciones Juradas de Ariel Ramos;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-ariel-ramos/2730
Declaraciones Juradas de Arnoldo Quinteros;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-arnoldo-quinteros/2515
Declaraciones Juradas de Augusto Alonso;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-augusto-alonso/2512
Declaraciones Juradas de Beatriz Di Tofino;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-beatriz-di-tofino/2509
Declaraciones Juradas de Benjamín Simes;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-benjamin-simes/2590
Declaraciones Juradas de Carla Abugauch;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-carla-abugauch/2637
Declaraciones Juradas de Carlos Cajal;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-carlos-cajal/2661
Declaraciones Juradas de Carlos Juarez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-carlos-juarez/2737
Declaraciones Juradas de Carlos Maizon;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-carlos-maizon/2497
Declaraciones Juradas de Carlos Martiniau;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-carlos-martiniau/2609
Declaraciones Juradas de Carlos Molina;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-carlos-molina/2492
Declaraciones Juradas de Carlos Poncio;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-carlos-poncio/2558
Declaraciones Juradas de Carlos Wendler;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-carlos-wendler/2457
Declaraciones Juradas de Carolina Fernandez Bodereau;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-carolina-fernandez-bodereau/2508
Declaraciones Juradas de Carolina Viartola;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-carolina-viartola/2486
Declaraciones Juradas de Cecilia Ammann;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-cecilia-ammann/2638
Declaraciones Juradas de Cecilia Aro;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-cecilia-aro/2642
Declaraciones Juradas de Cecilia Barletta;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-cecilia-barletta/2651
Declaraciones Juradas de Cecilia Perez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-cecilia-perez/2729
Declaraciones Juradas de Cecilia Sabattini;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-cecilia-sabattini/2461
Declaraciones Juradas de Cecilia Salguero;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-cecilia-salguero/2528
Declaraciones Juradas de César Ferreyra;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-cesar-ferreyra/2431
Declaraciones Juradas de Claudia Casadei;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-claudia-casadei/2717
Declaraciones Juradas de Claudia Melone;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-claudia-melone/2494
Declaraciones Juradas de Claudia Sosa;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-claudia-sosa/2554
Declaraciones Juradas de Claudio Gudiño;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-claudio-gudino/2680
Declaraciones Juradas de Claudio Mugas;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-claudio-mugas/2543
Declaraciones Juradas de Claudio Zarate;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-claudio-zarate/2712
Declaraciones Juradas de Cristian Cerri;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-cristian-cerri/2719
Declaraciones Juradas de Cristina Giorcelli;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-cristina-giorcelli/2647
Declaraciones Juradas de Daniel Arzani;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-arzani/2673
Declaraciones Juradas de Daniela Sacchi;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniela-sacchi/2579
Declaraciones Juradas de Daniel Bardagi;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-bardagi/2583
Declaraciones Juradas de Daniel Bevacqua;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-bevacqua/2540
Declaraciones Juradas de Daniel Graco;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-graco/2434
Declaraciones Juradas de Daniel Mentesana;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-mentesana/2493
Declaraciones Juradas de Daniel Poliotto;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-poliotto/2735
Declaraciones Juradas de Daniel Prina;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-prina/2464
Declaraciones Juradas de Daniel Rivas;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-rivas/2756
Declaraciones Juradas de Daniel Robles Sosa;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-robles-sosa/2822
Declaraciones Juradas de Daniel Valencia;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-valencia/2818
Declaraciones Juradas de Daniel Vercesi;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-daniel-vercesi/2442
Declaraciones Juradas de Dante Buffa;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-dante-buffa/2758
Declaraciones Juradas de Dario Rossi;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-dario-rossi/2597
Declaraciones Juradas de Dario Sebastián Balbo;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-dario-sebastian-balbo/2649
Declaraciones Juradas de David Antezana;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-david-antezana/2640
